Date,Open,High,Low,Close,Adj Close,Volume
30/12/2022,3845.92,3845.92,3792.09,3793.62,3793.62,0
29/12/2022,3803.24,3851.39,3793.25,3850.07,3850.07,0
28/12/2022,3833.45,3842.22,3805.94,3808.82,3808.82,0
27/12/2022,3826.99,3854.61,3826.99,3832.89,3832.89,0
23/12/2022,3817.01,3833.61,3798.74,3817.01,3817.01,0
22/12/2022,3870.98,3889.7,3817.49,3823.29,3823.29,0
21/12/2022,3810.870117,3874.360107,3810.870117,3872.149902,3872.149902,25091800
20/12/2022,3790.580078,3816.899902,3767.26001,3802.48999,3802.48999,28095300
19/12/2022,3808.530029,3835.629883,3808.530029,3811.23999,3811.23999,22537800
16/12/2022,3831,3837.77002,3783.939941,3804.02002,3804.02002,72865300
15/12/2022,3950.02002,3950.02002,3831.209961,3835.699951,3835.699951,49103300
14/12/2022,3980.709961,3980.709961,3955.149902,3975.26001,3975.26001,26716900
13/12/2022,3926.360107,4035.149902,3923.929932,3986.830078,3986.830078,33650300
12/12/2022,3931.590088,3936.110107,3911.669922,3921.820068,3921.820068,20949200
09/12/2022,3926.590088,3946.5,3905.939941,3942.620117,3942.620117,26353100
08/12/2022,3926.169922,3931.080078,3903.929932,3921.27002,3921.27002,19982600
07/12/2022,3929.709961,3944.030029,3911.459961,3920.899902,3920.899902,25630500
06/12/2022,3953.5,3963.51001,3924.649902,3939.189941,3939.189941,26961700
05/12/2022,3973.449951,3977.72998,3950.310059,3956.530029,3956.530029,20318200
02/12/2022,3974.159912,3996.570068,3940.52002,3977.899902,3977.899902,28794900
01/12/2022,3970.679932,4004.189941,3968.889893,3984.5,3984.5,35844500
30/11/2022,3945.709961,3972.689941,3943.459961,3964.719971,3964.719971,54927900
29/11/2022,3941.550049,3953.97998,3924.560059,3934.439941,3934.439941,26485800
28/11/2022,3952.709961,3957.560059,3925.129883,3935.51001,3935.51001,26030300
25/11/2022,3962.26001,3975.169922,3951.639893,3962.409912,3962.409912,22532600
23/11/2022,3938.570068,3950.139893,3925.370117,3946.439941,3946.439941,28050200
22/11/2022,3903.800049,3935.550049,3901.139893,3929.899902,3929.899902,32160400
21/11/2022,3915.659912,3921.949951,3896.709961,3909.280029,3909.280029,32334100
18/11/2022,3889.560059,3940.939941,3889.560059,3924.840088,3924.840088,43431600
17/11/2022,3890.169922,3910.169922,3842.870117,3878.419922,3878.419922,32444500
16/11/2022,3911.679932,3918.969971,3873.340088,3882.780029,3882.780029,29788000
15/11/2022,3896.290039,3932.22998,3889.25,3915.090088,3915.090088,31088400
14/11/2022,3873.51001,3915.669922,3872.209961,3887.51001,3887.51001,27377000
11/11/2022,3873.070068,3890.25,3859.5,3868.5,3868.5,38268800
10/11/2022,3717.689941,3849.139893,3706.790039,3846.560059,3846.560059,44833600
09/11/2022,3735.469971,3739.649902,3708.51001,3728.030029,3728.030029,30769500
08/11/2022,3704.199951,3741.290039,3695.169922,3739.280029,3739.280029,27401900
07/11/2022,3682.459961,3719.209961,3667.97998,3708.800049,3708.800049,34448100
04/11/2022,3601.919922,3711.209961,3601.919922,3688.330078,3688.330078,50017600
03/11/2022,3596.070068,3597.580078,3563.419922,3593.179932,3593.179932,28571100
02/11/2022,3653.419922,3675.659912,3621.179932,3622.01001,3622.01001,29427000
01/11/2022,3628.600098,3680.23999,3628.600098,3651.02002,3651.02002,27274900
31/10/2022,3622.550049,3631.22998,3606.969971,3617.540039,3617.540039,29741100
28/10/2022,3594.600098,3615.909912,3558.550049,3613.02002,3613.02002,29709100
27/10/2022,3604.949951,3618.72998,3565.360107,3604.51001,3604.51001,38256800
26/10/2022,3586.469971,3609.719971,3560.429932,3605.310059,3605.310059,31449100
25/10/2022,3536.919922,3585.580078,3511.52002,3585.580078,3585.580078,29931100
24/10/2022,3488.780029,3552.73999,3473.209961,3527.790039,3527.790039,31331300
21/10/2022,3477.27002,3488.01001,3422.929932,3476.629883,3476.629883,38820800
20/10/2022,3467.570068,3501.580078,3451.75,3492.850098,3492.850098,29617500
19/10/2022,3466.709961,3498.199951,3458.169922,3471.23999,3471.23999,23229200
18/10/2022,3449.949951,3511.060059,3449.949951,3463.830078,3463.830078,32665300
17/10/2022,3382.120117,3456.810059,3369.550049,3441.639893,3441.639893,26488900
14/10/2022,3371.709961,3452.98999,3371.709961,3381.72998,3381.72998,34861200
13/10/2022,3321.179932,3373.110107,3256.320068,3362.399902,3362.399902,35395100
12/10/2022,3339.5,3365.850098,3315.540039,3331.530029,3331.530029,27895000
11/10/2022,3352.540039,3356.409912,3310.409912,3340.350098,3340.350098,28872900
10/10/2022,3367.860107,3389.939941,3338.360107,3356.879883,3356.879883,24639400
07/10/2022,3419.310059,3434.129883,3373.649902,3375.459961,3375.459961,28227400
06/10/2022,3455.280029,3476.669922,3419.800049,3433.449951,3433.449951,26750600
05/10/2022,3479.23999,3480.449951,3427.699951,3447.719971,3447.719971,30015000
04/10/2022,3359.709961,3484.47998,3359.709961,3484.47998,3484.47998,37025400
03/10/2022,3309.02002,3348.449951,3259.75,3342.169922,3342.169922,31500900
30/09/2022,3282,3324.23999,3279.97998,3318.199951,3318.199951,39522200
29/09/2022,3332.800049,3332.800049,3249.570068,3279.040039,3279.040039,40550100
28/09/2022,3322.590088,3339.550049,3259.330078,3335.300049,3335.300049,43673200
27/09/2022,3349.939941,3396.080078,3328.649902,3328.649902,3328.649902,38819300
26/09/2022,3343.199951,3377.610107,3325.199951,3342.560059,3342.560059,32215800
23/09/2022,3427.139893,3427.139893,3330.100098,3348.600098,3348.600098,37876000
22/09/2022,3476.22998,3494.379883,3427.060059,3427.139893,3427.139893,29846400
21/09/2022,3461.300049,3494.409912,3425.699951,3491.870117,3491.870117,28274900
20/09/2022,3500.419922,3537.909912,3459.939941,3467.090088,3467.090088,35424200
19/09/2022,3499.780029,3520.110107,3451.51001,3499.48999,3499.48999,24090400
16/09/2022,3532.199951,3532.199951,3482.399902,3500.409912,3500.409912,64574500
15/09/2022,3566.469971,3586.360107,3532.080078,3541.790039,3541.790039,42869700
14/09/2022,3583.879883,3591.370117,3545.800049,3567.560059,3567.560059,29903900
13/09/2022,3649.23999,3683.02002,3586.080078,3586.179932,3586.179932,34987400
12/09/2022,3579.179932,3657.22998,3579.179932,3646.51001,3646.51001,36112400
09/09/2022,3512.709961,3581.570068,3512.709961,3570.040039,3570.040039,36556400
08/09/2022,3510.909912,3524.639893,3454.600098,3512.379883,3512.379883,34830400
07/09/2022,3495.02002,3510.899902,3462.860107,3502.090088,3502.090088,28569400
06/09/2022,3490.159912,3521.100098,3471.889893,3500.139893,3500.139893,25364400
02/09/2022,3466.659912,3548.850098,3466.659912,3544.379883,3544.379883,29976900
01/09/2022,3514.48999,3514.48999,3448.48999,3456.699951,3456.699951,27771400
31/08/2022,3571.969971,3583.050049,3517.25,3517.25,3517.25,41297400
30/08/2022,3576.889893,3629.5,3545.919922,3561.919922,3561.919922,30129900
29/08/2022,3600.47998,3600.47998,3537.23999,3570.51001,3570.51001,23779200
26/08/2022,3682.02002,3706.48999,3593.47998,3603.679932,3603.679932,32299200
25/08/2022,3670.570068,3703.52002,3659.75,3674.540039,3674.540039,28976000
24/08/2022,3651.050049,3672.790039,3626.409912,3667.459961,3667.459961,22406900
23/08/2022,3654.040039,3674.72998,3635.27002,3652.52002,3652.52002,29737400
22/08/2022,3724.139893,3724.139893,3643.719971,3658.219971,3658.219971,31457800
19/08/2022,3772.25,3772.25,3725.550049,3730.320068,3730.320068,31651600
18/08/2022,3755.850098,3779.77002,3748.889893,3777.379883,3777.379883,21449800
17/08/2022,3806.929932,3813.040039,3751.570068,3756.060059,3756.060059,25845100
16/08/2022,3796.040039,3819.120117,3786.590088,3805.219971,3805.219971,23982100
15/08/2022,3782.189941,3794.899902,3763.030029,3789.620117,3789.620117,21425200
12/08/2022,3760.580078,3784.189941,3756.189941,3776.810059,3776.810059,26900300
11/08/2022,3761.449951,3771.199951,3741.25,3757.050049,3757.050049,23953000
10/08/2022,3714.399902,3757.889893,3694.879883,3749.350098,3749.350098,25956200
09/08/2022,3752.26001,3755.320068,3711.550049,3715.370117,3715.370117,22617300
08/08/2022,3737.310059,3778.98999,3737.310059,3757.219971,3757.219971,24556800
05/08/2022,3751.51001,3757.47998,3716.389893,3725.389893,3725.389893,29117700
04/08/2022,3733.52002,3781.570068,3733.52002,3754.600098,3754.600098,31192400
03/08/2022,3687.98999,3734.790039,3681.889893,3732.540039,3732.540039,29490700
02/08/2022,3701.629883,3701.629883,3664.280029,3684.629883,3684.629883,29913500
29/07/2022,3662.699951,3720.159912,3662.699951,3708.100098,3708.100098,47393000
28/07/2022,3623.290039,3652.870117,3594.580078,3652.199951,3652.199951,39513900
27/07/2022,3583.389893,3617.5,3583.389893,3607.780029,3607.780029,28849600
