Date,Open,High,Low,Close
12/31/2009,2964.96,2964.96,2964.96,2964.96
12/30/2009,2986.96,2993.81,2964.87,2966.24
12/29/2009,2989.89,3001.56,2985.14,2992.08
12/28/2009,2975.59,2984.45,2970.01,2982.42
12/24/2009,2957.03,2957.03,2957.03,2957.03
12/23/2009,2961.77,2969.13,2946.25,2957.48
12/22/2009,2931.27,2961.85,2927.87,2945.71
12/21/2009,2883.85,2926.05,2875.79,2926.05
12/18/2009,2891.90,2921.25,2869.38,2871.22
12/17/2009,2906.53,2916.08,2882.82,2891.66
12/16/2009,2891.82,2926.52,2890.30,2926.52
12/15/2009,2887.40,2893.14,2855.63,2888.58
12/14/2009,2886.46,2897.23,2871.62,2885.00
12/11/2009,2855.72,2884.67,2853.93,2862.32
12/10/2009,2816.68,2857.39,2811.02,2851.29
12/09/2009,2840.49,2858.26,2802.39,2818.10
12/08/2009,2887.81,2906.77,2834.89,2849.17
12/07/2009,2899.89,2907.82,2876.59,2896.23
12/04/2009,2866.07,2930.01,2854.46,2910.33
12/03/2009,2891.56,2911.13,2869.35,2876.14
12/02/2009,2869.05,2893.94,2860.69,2877.94
12/01/2009,2820.99,2871.75,2817.16,2871.75
11/30/2009,2837.55,2843.33,2791.78,2797.25
11/27/2009,2769.42,2849.42,2757.02,2831.14
11/25/2009,2897.45,2910.22,2875.59,2896.90
11/24/2009,2877.39,2901.87,2868.24,2877.58
11/23/2009,2854.92,2906.56,2848.09,2898.19
11/20/2009,2870.24,2880.26,2824.88,2833.06
11/19/2009,2905.37,2908.43,2853.55,2860.29
11/18/2009,2918.39,2933.96,2900.81,2908.53
11/17/2009,2915.89,2923.54,2900.33,2906.92
11/16/2009,2904.11,2930.82,2895.49,2926.15
11/13/2009,2871.70,2886.21,2851.10,2883.04
11/12/2009,2871.53,2904.88,2860.81,2876.92
11/11/2009,2876.94,2902.50,2873.00,2881.01
11/10/2009,2862.70,2873.31,2849.62,2856.44
11/09/2009,2816.48,2860.31,2810.60,2860.11
11/06/2009,2788.69,2807.08,2754.06,2794.25
11/05/2009,2737.93,2808.69,2719.22,2793.44
11/04/2009,2732.64,2773.30,2728.84,2763.29
11/03/2009,2737.31,2741.48,2693.80,2712.30
11/02/2009,2735.63,2783.01,2728.11,2762.95
10/30/2009,2826.01,2833.86,2737.24,2743.50
10/29/2009,2771.35,2827.42,2759.47,2824.78
10/28/2009,2827.45,2829.77,2776.94,2778.46
10/27/2009,2836.06,2854.72,2815.66,2835.17
10/26/2009,2895.76,2907.02,2826.95,2834.82
10/23/2009,2917.07,2944.78,2883.59,2886.08
10/22/2009,2912.73,2918.13,2878.83,2902.19
10/21/2009,2937.25,2949.42,2885.13,2936.83
10/20/2009,2952.37,2962.06,2922.14,2925.08
10/19/2009,2907.40,2948.27,2900.37,2947.41
10/16/2009,2945.96,2960.61,2885.40,2893.53
10/15/2009,2956.23,2960.13,2926.23,2939.09
10/14/2009,2909.81,2952.29,2900.68,2950.82
10/13/2009,2907.70,2913.65,2869.65,2879.06
10/12/2009,2892.31,2929.62,2888.41,2914.35
10/09/2009,2875.57,2903.04,2866.25,2882.18
10/08/2009,2877.51,2897.74,2867.90,2887.61
10/07/2009,2860.00,2877.22,2847.23,2852.17
10/06/2009,2799.99,2866.04,2798.60,2865.70
10/05/2009,2763.74,2791.59,2746.85,2790.78
10/02/2009,2788.58,2798.93,2743.79,2760.60
10/01/2009,2876.82,2892.97,2810.15,2810.46
09/30/2009,2898.19,2909.53,2846.96,2872.63
09/29/2009,2902.87,2915.71,2880.24,2892.44
09/28/2009,2828.41,2899.12,2807.10,2899.12
09/25/2009,2839.69,2847.61,2819.29,2831.95
09/24/2009,2878.33,2906.16,2832.65,2838.22
09/23/2009,2881.11,2901.29,2874.57,2887.24
09/22/2009,2883.56,2907.06,2875.88,2881.60
09/21/2009,2884.97,2885.10,2849.94,2872.51
09/18/2009,2882.00,2913.69,2879.65,2887.24
09/17/2009,2900.29,2903.99,2875.70,2895.45
09/16/2009,2851.82,2889.54,2850.06,2882.28
09/15/2009,2834.21,2851.92,2818.51,2843.00
09/14/2009,2807.85,2832.00,2785.73,2829.25
09/11/2009,2827.95,2846.52,2822.41,2831.37
09/10/2009,2834.32,2840.10,2794.88,2817.50
09/09/2009,2774.55,2820.58,2772.75,2820.58
09/08/2009,2789.57,2801.54,2774.21,2786.25
09/04/2009,2714.20,2743.62,2708.34,2743.34
09/03/2009,2713.35,2727.88,2688.98,2699.22
09/02/2009,2711.55,2715.19,2674.66,2703.76
09/01/2009,2786.14,2796.01,2715.74,2715.74
08/31/2009,2785.75,2795.66,2768.19,2775.17
08/28/2009,2795.88,2831.44,2790.31,2803.65
08/27/2009,2783.93,2803.11,2763.61,2777.62
08/26/2009,2793.42,2812.13,2779.69,2788.90
08/25/2009,2758.62,2807.17,2753.89,2801.14
08/24/2009,2751.67,2784.53,2750.73,2778.34
