Date,Open,High,Low,Close
13/10/2009,1073.19,1074.96,1075.30,1066.71
12/10/2009,1076.19,1071.63,1079.46,1071.63
09/10/2009,1071.49,1065.28,1071.51,1063.00
08/10/2009,1065.48,1060.03,1070.67,1060.03
07/10/2009,1057.58,1053.65,1058.02,1050.10
06/10/2009,1054.72,1042.02,1060.55,1042.02
05/10/2009,1040.46,1026.87,1042.58,1025.92
02/10/2009,1025.21,1029.71,1030.60,1019.95
01/10/2009,1029.85,1054.91,1054.91,1029.45
30/09/2009,1057.08,1061.02,1063.40,1046.47
29/09/2009,1060.61,1063.69,1069.62,1057.83
28/09/2009,1062.98,1045.38,1065.13,1045.38
25/09/2009,1044.38,1049.48,1053.47,1041.17
24/09/2009,1050.78,1062.56,1066.29,1045.85
23/09/2009,1060.87,1072.69,1080.15,1060.39
22/09/2009,1071.66,1066.35,1073.81,1066.35
21/09/2009,1064.66,1067.14,1067.28,1057.46
18/09/2009,1068.30,1066.60,1071.52,1064.27
17/09/2009,1065.49,1067.87,1074.77,1061.20
16/09/2009,1068.76,1053.99,1068.76,1052.87
15/09/2009,1052.63,1049.03,1056.04,1043.42
14/09/2009,1049.34,1040.15,1049.74,1035.00
11/09/2009,1042.73,1043.92,1048.18,1038.40
10/09/2009,1044.14,1032.99,1044.14,1028.04
09/09/2009,1033.37,1025.36,1036.34,1023.97
08/09/2009,1025.39,1018.67,1026.07,1018.67
04/09/2009,1016.40,1003.84,1016.48,1001.65
03/09/2009,1003.24,996.12,1003.43,992.25
02/09/2009,994.75,996.07,1000.34,991.97
01/09/2009,998.04,1019.52,1028.45,996.28
31/08/2009,1020.62,1025.21,1025.21,1014.62
28/08/2009,1028.93,1031.62,1039.47,1023.13
27/08/2009,1030.98,1027.81,1033.33,1016.20
26/08/2009,1028.12,1027.35,1032.47,1021.57
25/08/2009,1028.00,1026.63,1037.75,1026.21
24/08/2009,1025.57,1026.59,1035.82,1022.48
21/08/2009,1026.13,1009.06,1027.59,1009.06
20/08/2009,1007.37,996.41,1008.92,996.39
19/08/2009,996.46,986.88,999.61,980.62
18/08/2009,989.67,980.62,991.20,980.62
17/08/2009,979.73,998.18,998.18,978.51
14/08/2009,1004.09,1012.23,1012.60,994.60
13/08/2009,1012.73,1005.86,1013.14,1000.82
12/08/2009,1005.81,994.00,1012.78,993.36
11/08/2009,994.35,1005.77,1005.77,992.40
10/08/2009,1007.10,1008.89,1010.12,1000.99
07/08/2009,1010.48,999.83,1018.00,999.83
06/08/2009,997.08,1004.06,1008.00,992.49
05/08/2009,1002.72,1005.41,1006.64,994.31
04/08/2009,1005.65,1001.41,1007.12,996.68
03/08/2009,1002.63,990.22,1003.61,990.22
31/07/2009,987.48,986.80,993.18,982.85
30/07/2009,986.75,976.01,996.68,976.01
29/07/2009,975.15,977.66,977.76,968.65
28/07/2009,979.62,981.48,982.35,969.35
27/07/2009,982.18,978.63,982.49,972.29
24/07/2009,979.26,972.16,979.79,965.95
23/07/2009,976.29,954.07,979.42,953.27
22/07/2009,954.07,953.40,959.83,947.75
21/07/2009,954.58,951.97,956.53,943.22
20/07/2009,951.13,942.07,951.62,940.99
17/07/2009,940.38,940.56,941.89,934.65
16/07/2009,940.74,930.17,943.96,927.45
15/07/2009,932.68,910.15,933.95,910.15
14/07/2009,905.84,900.77,905.84,896.50
13/07/2009,901.05,879.57,901.05,875.32
10/07/2009,879.13,880.03,883.57,872.81
09/07/2009,882.68,881.28,887.86,878.45
08/07/2009,879.56,881.90,886.80,869.32
07/07/2009,881.03,898.60,898.60,879.93
06/07/2009,898.72,894.27,898.72,886.36
02/07/2009,896.42,921.24,921.24,896.42
01/07/2009,923.33,920.82,931.92,920.82
30/06/2009,919.32,927.15,930.01,912.86
29/06/2009,927.23,919.86,927.99,916.18
26/06/2009,918.90,918.84,922.00,913.03
25/06/2009,920.26,899.45,921.42,896.27
24/06/2009,900.94,896.31,910.85,896.31
23/06/2009,895.10,893.46,898.69,888.86
22/06/2009,893.04,918.13,918.13,893.04
19/06/2009,921.23,919.96,927.09,915.80
18/06/2009,918.37,910.86,921.93,907.94
17/06/2009,910.71,911.89,918.44,903.78
16/06/2009,911.97,925.60,928.00,911.60
15/06/2009,923.72,942.45,942.45,919.65
12/06/2009,946.21,943.44,946.30,935.66
11/06/2009,944.89,939.04,956.23,939.04
10/06/2009,939.15,942.73,949.77,927.97
09/06/2009,942.43,940.35,946.92,936.15
08/06/2009,939.14,938.12,946.33,926.44
05/06/2009,940.09,945.67,951.69,934.13
04/06/2009,942.46,932.49,942.47,929.32
03/06/2009,931.76,942.51,942.51,923.85
02/06/2009,944.74,942.87,949.38,938.46
01/06/2009,942.87,923.26,947.77,923.26
29/05/2009,919.14,907.02,920.02,903.56
28/05/2009,906.83,892.96,909.45,887.60
27/05/2009,893.06,909.95,913.84,891.87
26/05/2009,910.33,887.00,911.76,881.46
22/05/2009,887.00,888.68,896.65,883.75
21/05/2009,888.33,900.42,900.42,879.61
20/05/2009,903.47,908.62,924.60,901.37
19/05/2009,908.13,909.67,916.39,905.22
18/05/2009,909.71,886.07,910.00,886.07
15/05/2009,882.88,892.76,896.97,878.94
14/05/2009,893.07,884.24,898.36,882.52
13/05/2009,883.92,905.40,905.40,882.80
12/05/2009,908.35,910.52,915.57,896.46
11/05/2009,909.24,922.99,922.99,908.68
08/05/2009,929.23,909.03,930.17,909.03
07/05/2009,907.39,919.58,929.58,901.36
06/05/2009,919.53,903.95,920.28,903.95
05/05/2009,903.80,906.10,907.70,897.34
04/05/2009,907.24,879.21,907.85,879.21
01/05/2009,877.52,872.74,880.48,866.10
30/04/2009,872.81,876.59,888.70,868.51
29/04/2009,873.64,856.85,882.06,856.85
28/04/2009,855.16,854.48,864.48,847.12
27/04/2009,857.51,862.82,868.83,854.65
24/04/2009,866.23,853.91,871.80,853.91
23/04/2009,851.92,844.62,852.87,835.45
22/04/2009,843.55,847.26,861.78,840.57
21/04/2009,850.08,831.25,850.09,826.83
20/04/2009,832.39,868.27,868.27,832.39
17/04/2009,869.60,865.18,875.63,860.87
16/04/2009,865.30,854.54,870.35,847.04
15/04/2009,852.06,839.44,852.93,835.58
14/04/2009,841.50,856.88,856.88,840.25
13/04/2009,858.73,855.33,864.31,845.35
09/04/2009,856.56,829.29,856.91,829.29
08/04/2009,825.16,816.76,828.42,814.84
07/04/2009,815.55,834.12,834.12,814.53
06/04/2009,835.48,839.75,839.75,822.79
03/04/2009,842.50,835.13,842.50,826.70
02/04/2009,834.38,814.53,845.61,814.53
01/04/2009,811.08,793.59,813.62,783.32
31/03/2009,797.87,790.88,810.48,790.88
30/03/2009,787.53,809.07,809.07,779.81
27/03/2009,815.94,828.68,828.68,813.43
26/03/2009,832.86,814.06,832.98,814.06
25/03/2009,813.88,806.81,826.78,791.37
24/03/2009,806.12,820.60,823.65,805.48
23/03/2009,822.92,772.31,823.37,772.31
20/03/2009,768.54,784.58,788.91,766.20
19/03/2009,784.04,797.92,803.24,781.82
18/03/2009,794.35,776.01,803.04,765.64
17/03/2009,778.12,753.88,778.12,749.93
16/03/2009,753.89,758.84,774.53,753.37
13/03/2009,756.55,751.97,758.29,742.46
12/03/2009,750.74,720.89,752.63,714.76
11/03/2009,721.36,719.59,731.92,713.85
10/03/2009,719.60,679.28,719.60,679.28
09/03/2009,676.53,680.76,695.27,672.88
06/03/2009,683.38,684.04,699.09,666.79
05/03/2009,682.55,708.27,708.27,677.93
04/03/2009,712.87,698.60,724.12,698.60
03/03/2009,696.33,704.44,711.67,692.30
02/03/2009,700.82,729.57,729.57,699.70
27/02/2009,735.09,749.93,751.27,734.52
26/02/2009,752.83,765.76,779.42,751.75
25/02/2009,764.90,770.64,780.12,752.89
24/02/2009,773.14,744.69,775.49,744.69
23/02/2009,743.33,773.25,777.85,742.37
20/02/2009,770.05,775.87,778.69,754.25
19/02/2009,778.94,787.91,797.58,777.03
18/02/2009,788.42,791.06,796.17,780.43
17/02/2009,789.17,818.61,818.61,789.17
13/02/2009,826.84,833.95,839.43,825.21
12/02/2009,835.19,829.91,835.48,808.06
11/02/2009,833.74,827.41,838.22,822.30
10/02/2009,827.16,866.87,868.05,822.99
09/02/2009,869.89,868.24,875.01,861.65
06/02/2009,868.60,846.09,870.75,845.42
05/02/2009,845.85,831.75,850.55,819.91
04/02/2009,832.23,837.77,851.85,829.18
03/02/2009,838.51,825.69,842.60,821.98
02/02/2009,825.44,823.09,830.78,812.87
30/01/2009,825.88,845.69,851.66,821.67
29/01/2009,845.14,868.89,868.89,844.15
28/01/2009,874.09,845.73,877.86,845.73
27/01/2009,845.71,837.30,850.45,835.40
26/01/2009,836.57,832.50,852.53,827.69
23/01/2009,831.95,822.16,838.61,806.07
22/01/2009,827.50,839.74,839.74,811.29
21/01/2009,840.24,806.77,841.72,804.30
20/01/2009,805.22,849.64,849.64,804.47
16/01/2009,850.12,844.45,858.13,830.66
15/01/2009,843.74,841.99,851.59,817.04
14/01/2009,842.62,867.28,867.28,836.93
13/01/2009,871.79,869.79,877.02,862.02
12/01/2009,870.26,890.40,890.40,864.32
09/01/2009,890.35,909.91,911.93,888.31
08/01/2009,909.73,905.73,910.00,896.81
07/01/2009,906.65,927.45,927.45,902.37
06/01/2009,934.70,931.17,943.85,927.28
05/01/2009,927.45,929.17,936.63,919.53
02/01/2009,931.80,902.99,934.73,899.35
31/12/2008,903.25,890.59,910.32,889.67
30/12/2008,890.64,870.58,891.12,870.58
29/12/2008,869.42,872.37,873.70,857.07
26/12/2008,872.80,869.51,873.74,866.52
24/12/2008,868.15,863.87,869.79,861.44
23/12/2008,863.16,874.31,880.44,860.10
22/12/2008,871.63,887.20,887.37,857.09
19/12/2008,887.88,886.96,905.47,883.02
18/12/2008,885.28,905.98,911.02,877.44
17/12/2008,904.42,908.16,918.85,895.94
16/12/2008,913.18,871.53,914.66,871.53
15/12/2008,868.57,881.07,884.63,857.72
12/12/2008,879.73,871.79,883.24,851.35
11/12/2008,873.59,898.35,904.63,868.73
10/12/2008,899.24,892.17,908.27,885.45
09/12/2008,888.67,906.48,916.26,885.38
08/12/2008,909.70,882.71,918.57,882.71
05/12/2008,876.07,844.43,879.42,818.41
04/12/2008,845.22,869.75,875.60,833.60
03/12/2008,870.74,843.60,873.12,827.60
02/12/2008,848.81,817.94,850.54,817.94
01/12/2008,816.21,888.61,888.61,815.69
28/11/2008,896.24,886.89,896.25,881.21
26/11/2008,887.68,852.90,887.68,841.37
25/11/2008,857.39,853.40,868.94,834.99
24/11/2008,851.81,801.20,865.60,801.20
21/11/2008,800.03,755.84,801.20,741.02
20/11/2008,752.44,805.87,820.52,747.78
19/11/2008,806.58,859.03,864.57,806.18
18/11/2008,859.12,852.34,865.90,826.84
17/11/2008,850.75,873.23,882.29,848.98
14/11/2008,873.29,904.36,916.88,869.88
13/11/2008,911.29,853.13,913.01,818.69
12/11/2008,852.30,893.39,893.39,850.48
11/11/2008,898.95,917.15,917.15,884.90
10/11/2008,919.21,936.75,951.95,907.47
07/11/2008,930.99,907.44,931.46,906.90
06/11/2008,904.88,952.40,952.40,899.73
05/11/2008,952.77,1001.84,1001.84,949.86
04/11/2008,1005.75,971.31,1007.51,971.31
03/11/2008,966.30,968.67,975.57,958.82
31/10/2008,968.75,953.11,984.38,944.59
30/10/2008,954.09,939.38,963.23,928.50
29/10/2008,930.09,939.51,969.97,922.26
28/10/2008,940.51,848.92,940.51,845.27
27/10/2008,848.92,874.28,893.78,846.75
24/10/2008,876.77,895.22,896.30,852.85
23/10/2008,908.11,899.08,922.83,858.44
22/10/2008,896.78,951.67,951.67,875.81
21/10/2008,955.05,980.40,985.44,952.47
20/10/2008,985.40,943.51,985.40,943.51
17/10/2008,940.55,942.29,984.64,918.74
16/10/2008,946.43,909.53,947.71,865.83
15/10/2008,907.84,994.60,994.60,903.99
14/10/2008,998.01,1009.97,1044.31,972.07
13/10/2008,1003.35,912.75,1006.93,912.75
10/10/2008,899.22,902.31,936.36,839.80
09/10/2008,909.92,988.42,1005.25,909.19
08/10/2008,984.94,988.91,1021.06,970.97
07/10/2008,996.23,1057.60,1072.91,996.23
06/10/2008,1056.89,1097.56,1097.56,1007.97
03/10/2008,1099.23,1115.16,1153.82,1098.14
02/10/2008,1114.28,1160.64,1160.64,1111.43
01/10/2008,1161.06,1164.17,1167.03,1140.77
30/09/2008,1166.36,1113.78,1168.03,1113.78
29/09/2008,1106.42,1209.07,1209.07,1106.42
26/09/2008,1213.27,1204.47,1215.77,1187.54
25/09/2008,1209.18,1187.87,1220.03,1187.87
24/09/2008,1185.87,1188.79,1197.41,1179.79
23/09/2008,1188.22,1207.61,1221.15,1187.06
22/09/2008,1207.09,1255.37,1255.37,1205.61
19/09/2008,1255.08,1213.11,1265.12,1213.11
18/09/2008,1206.51,1157.08,1211.14,1133.50
17/09/2008,1156.39,1210.34,1210.34,1155.88
16/09/2008,1213.60,1188.31,1214.84,1169.28
15/09/2008,1192.70,1250.92,1250.92,1192.70
12/09/2008,1251.70,1245.88,1255.09,1233.81
11/09/2008,1249.05,1229.04,1249.98,1211.54
10/09/2008,1232.04,1227.50,1243.90,1221.60
09/09/2008,1224.51,1267.98,1268.66,1224.51
08/09/2008,1267.79,1249.50,1274.42,1247.12
05/09/2008,1242.31,1233.21,1244.94,1217.23
04/09/2008,1236.83,1271.80,1271.80,1232.83
03/09/2008,1274.98,1276.61,1280.60,1265.59
02/09/2008,1277.58,1287.83,1303.04,1272.20
29/08/2008,1282.83,1296.49,1297.59,1282.74
28/08/2008,1300.68,1283.79,1300.68,1283.79
27/08/2008,1281.66,1271.29,1285.05,1270.03
26/08/2008,1271.51,1267.03,1275.65,1263.21
25/08/2008,1266.84,1290.47,1290.47,1264.87
22/08/2008,1292.20,1277.59,1293.09,1277.59
21/08/2008,1277.72,1271.07,1281.40,1265.22
20/08/2008,1274.54,1267.34,1276.01,1261.16
19/08/2008,1266.69,1276.65,1276.65,1263.11
18/08/2008,1278.60,1298.14,1300.22,1274.51
15/08/2008,1298.20,1293.85,1302.05,1290.74
14/08/2008,1292.93,1282.11,1300.11,1276.84
13/08/2008,1285.83,1288.64,1294.03,1274.86
12/08/2008,1289.59,1304.79,1304.79,1285.64
11/08/2008,1305.32,1294.42,1313.15,1291.41
08/08/2008,1296.32,1266.29,1297.85,1262.11
07/08/2008,1266.07,1286.51,1286.51,1264.29
06/08/2008,1289.19,1283.99,1291.67,1276.00
05/08/2008,1284.88,1254.87,1284.88,1254.67
04/08/2008,1249.01,1253.27,1260.49,1247.45
01/08/2008,1260.31,1269.42,1270.52,1254.54
31/07/2008,1267.38,1281.37,1284.93,1265.97
30/07/2008,1284.26,1264.52,1284.33,1264.52
29/07/2008,1263.20,1236.38,1263.20,1236.38
28/07/2008,1234.37,1257.76,1260.09,1234.37
25/07/2008,1257.76,1253.51,1263.23,1251.75
24/07/2008,1252.54,1283.22,1283.22,1251.48
23/07/2008,1282.19,1278.87,1291.17,1276.06
22/07/2008,1277.00,1257.08,1277.42,1248.83
21/07/2008,1260.00,1261.82,1267.74,1255.70
18/07/2008,1260.68,1258.22,1262.23,1251.81
17/07/2008,1260.32,1246.31,1262.31,1241.49
16/07/2008,1245.36,1214.65,1245.52,1211.39
15/07/2008,1214.91,1226.83,1234.35,1200.44
14/07/2008,1228.30,1241.61,1253.50,1225.01
11/07/2008,1239.49,1248.66,1257.27,1225.35
10/07/2008,1253.39,1245.25,1257.65,1236.76
09/07/2008,1244.69,1273.38,1277.36,1244.57
08/07/2008,1273.70,1251.84,1274.17,1242.84
07/07/2008,1252.31,1262.90,1273.95,1240.68
03/07/2008,1262.90,1262.96,1271.48,1252.01
02/07/2008,1261.52,1285.82,1292.17,1261.51
01/07/2008,1284.91,1276.69,1285.31,1260.68
30/06/2008,1280.00,1278.06,1290.31,1274.86
27/06/2008,1278.38,1283.60,1289.45,1272.00
26/06/2008,1283.15,1316.29,1316.29,1283.15
25/06/2008,1321.97,1314.54,1335.63,1314.54
24/06/2008,1314.29,1317.23,1326.02,1304.42
23/06/2008,1318.00,1319.77,1323.78,1315.31
20/06/2008,1317.93,1341.02,1341.02,1314.46
19/06/2008,1342.83,1336.89,1347.66,1330.50
18/06/2008,1337.81,1349.59,1349.59,1333.40
17/06/2008,1350.93,1360.71,1366.59,1350.54
16/06/2008,1360.14,1358.85,1364.70,1352.07
13/06/2008,1360.03,1341.81,1360.03,1341.71
12/06/2008,1339.87,1335.78,1353.03,1331.29
11/06/2008,1335.49,1357.09,1357.09,1335.47
10/06/2008,1358.44,1358.98,1366.84,1351.56
09/06/2008,1361.76,1360.83,1370.63,1350.62
06/06/2008,1360.68,1400.06,1400.06,1359.90
05/06/2008,1404.05,1377.48,1404.05,1377.48
04/06/2008,1377.20,1376.26,1388.18,1371.74
03/06/2008,1377.65,1386.42,1393.12,1370.12
02/06/2008,1385.67,1399.62,1399.62,1377.79
30/05/2008,1400.38,1398.36,1404.46,1398.08
29/05/2008,1398.26,1390.50,1406.32,1388.59
28/05/2008,1390.84,1386.54,1391.25,1378.16
27/05/2008,1385.35,1375.97,1387.40,1373.07
23/05/2008,1375.93,1392.20,1392.20,1373.72
22/05/2008,1394.35,1390.83,1399.07,1390.23
21/05/2008,1390.71,1414.06,1419.12,1388.81
20/05/2008,1413.40,1424.49,1424.49,1409.09
19/05/2008,1426.63,1425.28,1440.24,1421.63
16/05/2008,1425.35,1423.89,1425.82,1414.35
15/05/2008,1423.57,1408.36,1424.40,1406.87
14/05/2008,1408.66,1405.65,1420.19,1405.65
13/05/2008,1403.04,1404.40,1406.30,1396.26
12/05/2008,1403.58,1389.40,1404.06,1386.20
09/05/2008,1388.28,1394.90,1394.90,1384.11
08/05/2008,1397.68,1394.29,1402.35,1389.39
07/05/2008,1392.57,1417.49,1419.54,1391.16
06/05/2008,1418.26,1405.60,1421.57,1397.10
05/05/2008,1407.49,1415.34,1415.34,1404.37
02/05/2008,1413.90,1409.16,1422.72,1406.25
01/05/2008,1409.34,1385.97,1410.07,1383.07
30/04/2008,1385.59,1391.22,1404.57,1384.25
29/04/2008,1390.94,1395.61,1397.00,1386.70
28/04/2008,1396.37,1397.96,1402.90,1394.40
25/04/2008,1397.84,1387.88,1399.11,1379.98
24/04/2008,1388.82,1380.52,1397.72,1371.09
23/04/2008,1379.93,1378.40,1387.87,1372.24
22/04/2008,1375.94,1386.43,1386.43,1369.84
21/04/2008,1388.17,1387.72,1390.23,1379.25
18/04/2008,1390.33,1369.00,1395.90,1369.00
17/04/2008,1365.56,1363.37,1368.60,1357.25
16/04/2008,1364.71,1337.02,1365.49,1337.02
15/04/2008,1334.43,1331.72,1337.72,1324.35
14/04/2008,1328.32,1332.20,1335.64,1326.16
11/04/2008,1332.83,1357.98,1357.98,1331.21
10/04/2008,1360.55,1355.37,1367.24,1350.11
09/04/2008,1354.49,1365.50,1368.39,1349.97
08/04/2008,1365.54,1370.16,1370.16,1360.62
07/04/2008,1372.54,1373.69,1386.74,1369.02
04/04/2008,1370.40,1369.85,1380.91,1362.83
03/04/2008,1369.31,1365.69,1375.66,1358.68
02/04/2008,1367.53,1369.96,1377.95,1361.55
01/04/2008,1370.18,1326.41,1370.18,1326.41
31/03/2008,1322.70,1315.92,1328.52,1312.81
28/03/2008,1315.22,1327.02,1334.87,1312.95
27/03/2008,1325.76,1340.34,1345.62,1325.66
26/03/2008,1341.13,1352.45,1352.45,1336.41
25/03/2008,1352.99,1349.07,1357.47,1341.21
24/03/2008,1349.88,1330.29,1359.68,1330.29
20/03/2008,1329.51,1299.67,1330.67,1295.22
19/03/2008,1298.42,1330.97,1341.51,1298.42
18/03/2008,1330.74,1277.16,1330.74,1277.16
17/03/2008,1276.60,1283.21,1287.50,1256.98
14/03/2008,1288.14,1316.05,1321.47,1274.86
13/03/2008,1315.48,1305.26,1321.68,1282.11
12/03/2008,1308.77,1321.13,1333.26,1307.86
11/03/2008,1320.65,1274.40,1320.65,1274.40
10/03/2008,1273.37,1293.16,1295.01,1272.66
07/03/2008,1293.37,1301.53,1313.24,1282.43
06/03/2008,1304.34,1332.20,1332.20,1303.42
05/03/2008,1333.70,1327.69,1344.19,1320.22
04/03/2008,1326.75,1329.58,1331.03,1307.39
03/03/2008,1331.34,1330.45,1335.13,1320.04
29/02/2008,1330.63,1364.07,1364.07,1325.42
28/02/2008,1367.68,1378.16,1378.16,1363.16
27/02/2008,1380.02,1378.95,1388.34,1372.00
26/02/2008,1381.29,1371.76,1387.34,1363.29
25/02/2008,1371.80,1352.75,1374.36,1346.03
22/02/2008,1353.11,1344.22,1354.30,1327.04
21/02/2008,1342.53,1362.21,1367.94,1339.34
20/02/2008,1360.03,1348.39,1363.71,1336.55
19/02/2008,1348.78,1355.86,1367.28,1345.05
15/02/2008,1349.99,1347.52,1350.00,1338.13
14/02/2008,1348.86,1367.33,1368.16,1347.31
13/02/2008,1367.21,1353.12,1369.23,1350.78
12/02/2008,1348.86,1340.55,1362.10,1339.36
11/02/2008,1339.13,1331.92,1341.40,1320.32
08/02/2008,1331.29,1336.88,1341.22,1321.06
07/02/2008,1336.91,1324.01,1347.16,1316.75
06/02/2008,1326.45,1339.48,1351.96,1324.34
05/02/2008,1336.64,1380.28,1380.28,1336.64
04/02/2008,1380.82,1395.38,1395.38,1379.69
01/02/2008,1395.42,1378.60,1396.02,1375.93
31/01/2008,1378.55,1351.98,1385.62,1334.08
30/01/2008,1355.81,1362.22,1385.86,1352.95
29/01/2008,1362.30,1355.94,1364.93,1350.19
28/01/2008,1353.96,1330.70,1353.97,1322.26
25/01/2008,1330.61,1357.32,1368.56,1327.50
24/01/2008,1352.07,1340.13,1355.15,1334.31
23/01/2008,1338.60,1310.41,1339.09,1270.05
22/01/2008,1310.50,1312.94,1322.09,1274.29
18/01/2008,1325.19,1333.90,1350.28,1312.51
17/01/2008,1333.25,1374.79,1377.72,1330.67
16/01/2008,1373.20,1377.41,1391.99,1364.27
15/01/2008,1380.95,1411.88,1411.88,1380.60
14/01/2008,1416.25,1402.91,1417.89,1402.91
11/01/2008,1401.02,1419.91,1419.91,1394.83
10/01/2008,1420.33,1406.78,1429.09,1395.31
09/01/2008,1409.13,1390.25,1409.19,1378.70
08/01/2008,1390.19,1415.71,1430.28,1388.30
07/01/2008,1416.18,1414.07,1423.87,1403.45
04/01/2008,1411.63,1444.01,1444.01,1411.19
03/01/2008,1447.16,1447.55,1456.80,1443.73
02/01/2008,1447.16,1467.97,1471.77,1442.07
31/12/2007,1468.36,1475.25,1475.83,1465.13
28/12/2007,1478.49,1479.83,1488.01,1471.70
27/12/2007,1476.27,1495.05,1495.05,1475.86
26/12/2007,1497.66,1495.12,1498.85,1488.20
24/12/2007,1496.45,1484.55,1497.63,1484.55
21/12/2007,1484.46,1463.19,1485.40,1463.19
20/12/2007,1460.12,1456.42,1461.53,1447.22
19/12/2007,1453.00,1454.70,1464.42,1445.31
18/12/2007,1454.98,1445.92,1460.16,1435.65
17/12/2007,1445.90,1465.05,1465.05,1445.43
14/12/2007,1467.95,1486.19,1486.67,1467.78
13/12/2007,1488.41,1483.27,1489.40,1469.21
12/12/2007,1486.59,1487.58,1511.96,1468.23
11/12/2007,1477.65,1516.68,1523.57,1475.99
10/12/2007,1515.96,1505.11,1518.27,1504.96
07/12/2007,1504.66,1508.60,1510.63,1502.66
06/12/2007,1507.34,1484.59,1508.02,1482.19
05/12/2007,1485.01,1465.22,1486.09,1465.22
04/12/2007,1462.79,1471.34,1471.34,1460.66
03/12/2007,1472.42,1479.63,1481.16,1470.08
30/11/2007,1481.14,1471.83,1488.94,1470.89
29/11/2007,1469.72,1467.41,1473.81,1458.36
