Date,Open,High,Low,Close
09/16/2009,"2,851.82","2,889.54","2,850.06","2,882.28"
09/15/2009,"2,834.21","2,851.92","2,818.51","2,843.00"
09/14/2009,"2,807.85","2,832.00","2,785.73","2,829.25"
09/11/2009,"2,827.95","2,846.52","2,822.41","2,831.37"
09/10/2009,"2,834.32","2,840.10","2,794.88","2,817.50"
09/09/2009,"2,774.55","2,820.58","2,772.75","2,820.58"
09/08/2009,"2,789.57","2,801.54","2,774.21","2,786.25"
09/04/2009,"2,714.20","2,743.62","2,708.34","2,743.34"
09/03/2009,"2,713.35","2,727.88","2,688.98","2,699.22"
09/02/2009,"2,711.55","2,715.19","2,674.66","2,703.76"
09/01/2009,"2,786.14","2,796.01","2,715.74","2,715.74"
08/31/2009,"2,785.75","2,795.66","2,768.19","2,775.17"
08/28/2009,"2,795.88","2,831.44","2,790.31","2,803.65"
08/27/2009,"2,783.93","2,803.11","2,763.61","2,777.62"
08/26/2009,"2,793.42","2,812.13","2,779.69","2,788.90"
08/25/2009,"2,758.62","2,807.17","2,753.89","2,801.14"
08/24/2009,"2,751.67","2,784.53","2,750.73","2,778.34"
08/21/2009,"2,652.99","2,749.89","2,652.99","2,745.62"
08/20/2009,"2,647.06","2,670.87","2,638.17","2,663.67"
08/19/2009,"2,610.10","2,635.05","2,587.25","2,622.88"
08/18/2009,"2,613.03","2,630.60","2,604.88","2,630.60"
08/17/2009,"2,656.36","2,659.73","2,588.08","2,603.79"
08/14/2009,"2,710.96","2,724.24","2,659.46","2,669.41"
08/13/2009,"2,693.50","2,733.95","2,687.47","2,705.74"
08/12/2009,"2,651.09","2,690.13","2,631.24","2,688.21"
08/11/2009,"2,697.17","2,712.39","2,643.58","2,650.94"
08/10/2009,"2,695.81","2,700.92","2,677.40","2,693.61"
08/07/2009,"2,654.12","2,717.59","2,636.37","2,706.22"
08/06/2009,"2,663.82","2,683.95","2,647.65","2,662.01"
08/05/2009,"2,667.96","2,687.18","2,632.15","2,643.13"
08/04/2009,"2,673.13","2,675.07","2,644.37","2,670.96"
08/03/2009,"2,635.20","2,694.18","2,631.67","2,674.07"
07/31/2009,"2,648.15","2,660.73","2,626.06","2,638.13"
07/30/2009,"2,618.50","2,668.50","2,602.92","2,654.74"
07/29/2009,"2,570.46","2,618.65","2,568.41","2,600.31"
07/28/2009,"2,606.89","2,625.23","2,569.97","2,573.08"
07/27/2009,"2,607.83","2,624.56","2,581.05","2,601.41"
07/24/2009,"2,577.71","2,613.38","2,568.18","2,582.76"
07/23/2009,"2,533.58","2,591.01","2,519.82","2,585.79"
07/22/2009,"2,522.28","2,529.27","2,496.54","2,528.85"
07/21/2009,"2,503.03","2,548.16","2,497.64","2,519.99"
07/20/2009,"2,490.95","2,511.53","2,482.80","2,500.69"
07/17/2009,"2,474.95","2,485.59","2,455.81","2,469.20"
07/16/2009,"2,446.44","2,483.50","2,437.62","2,458.97"
07/15/2009,"2,386.02","2,451.02","2,381.59","2,451.02"
07/14/2009,"2,354.53","2,380.44","2,344.67","2,370.71"
07/13/2009,"2,273.53","2,345.22","2,258.60","2,345.22"
07/10/2009,"2,301.10","2,312.80","2,277.50","2,281.47"
07/09/2009,"2,302.20","2,335.89","2,299.71","2,313.87"
07/08/2009,"2,311.30","2,321.12","2,284.03","2,291.33"
07/07/2009,"2,355.71","2,370.12","2,319.47","2,320.90"
07/06/2009,"2,356.26","2,360.62","2,324.56","2,343.88"
07/02/2009,"2,436.96","2,441.94","2,369.65","2,369.65"
07/01/2009,"2,411.42","2,459.89","2,410.08","2,449.73"
06/30/2009,"2,446.18","2,446.18","2,390.55","2,401.69"
06/29/2009,"2,385.10","2,444.00","2,382.02","2,437.72"
06/26/2009,"2,413.14","2,434.75","2,379.02","2,389.91"
06/25/2009,"2,410.96","2,419.31","2,361.31","2,402.32"
06/24/2009,"2,364.79","2,423.08","2,347.91","2,418.46"
06/23/2009,"2,346.11","2,374.16","2,343.02","2,353.48"
06/22/2009,"2,434.08","2,435.00","2,359.28","2,359.28"
06/19/2009,"2,415.70","2,447.94","2,405.86","2,434.77"
06/18/2009,"2,390.14","2,421.05","2,369.77","2,414.44"
06/17/2009,"2,416.57","2,420.48","2,365.18","2,383.71"
06/16/2009,"2,435.82","2,450.74","2,421.56","2,425.97"
06/15/2009,"2,495.75","2,498.73","2,427.54","2,431.40"
06/12/2009,"2,516.19","2,522.52","2,497.50","2,509.22"
06/11/2009,"2,493.76","2,528.59","2,491.96","2,522.33"
06/10/2009,"2,508.02","2,536.23","2,494.40","2,500.94"
06/09/2009,"2,485.16","2,499.47","2,469.91","2,479.38"
06/08/2009,"2,495.37","2,497.26","2,452.80","2,468.37"
06/05/2009,"2,504.85","2,544.22","2,487.69","2,503.17"
06/04/2009,"2,486.64","2,507.69","2,477.06","2,487.08"
06/03/2009,"2,539.61","2,540.79","2,471.77","2,483.39"
06/02/2009,"2,517.86","2,549.32","2,512.89","2,534.17"
06/01/2009,"2,486.90","2,542.18","2,504.11","2,537.35"
05/29/2009,"2,482.03","2,487.89","2,447.51","2,451.24"
05/28/2009,"2,449.24","2,475.64","2,429.51","2,453.15"
05/27/2009,"2,477.76","2,489.78","2,461.27","2,479.48"
05/26/2009,"2,428.00","2,472.89","2,389.26","2,468.45"
05/22/2009,"2,428.82","2,457.51","2,413.11","2,433.52"
05/21/2009,"2,462.11","2,466.75","2,414.57","2,423.72"
05/20/2009,"2,454.47","2,499.64","2,451.41","2,487.17"
05/19/2009,"2,434.98","2,475.03","2,433.18","2,459.59"
05/18/2009,"2,339.60","2,422.74","2,318.26","2,422.74"
05/15/2009,"2,371.59","2,379.90","2,336.99","2,364.10"
05/14/2009,"2,353.45","2,361.31","2,319.05","2,353.53"
05/13/2009,"2,432.21","2,438.52","2,353.29","2,357.30"
05/12/2009,"2,409.31","2,453.33","2,406.51","2,424.34"
05/11/2009,"2,464.35","2,465.76","2,413.23","2,433.59"
05/08/2009,"2,430.53","2,483.44","2,419.05","2,462.39"
05/07/2009,"2,454.14","2,488.93","2,399.93","2,406.08"
05/06/2009,"2,395.04","2,460.77","2,394.33","2,437.27"
05/05/2009,"2,421.09","2,437.86","2,399.09","2,407.55"
05/04/2009,"2,377.27","2,422.36","2,372.60","2,419.53"
05/01/2009,"2,375.34","2,375.34","2,375.34","2,375.34"
04/30/2009,"2,348.31","2,400.69","2,342.64","2,375.34"
04/29/2009,"2,288.72","2,343.64","2,287.41","2,334.59"
04/28/2009,"2,287.29","2,301.74","2,250.52","2,280.52"
04/27/2009,"2,299.27","2,322.59","2,269.49","2,317.36"
04/24/2009,"2,266.12","2,319.89","2,261.76","2,319.89"
04/23/2009,"2,258.82","2,297.87","2,250.68","2,259.54"
04/22/2009,"2,246.76","2,287.02","2,218.32","2,285.69"
04/21/2009,"2,249.33","2,271.09","2,186.03","2,243.63"
04/20/2009,"2,335.47","2,342.33","2,240.84","2,249.44"
04/17/2009,"2,309.84","2,341.15","2,294.27","2,341.15"
04/16/2009,"2,273.63","2,317.85","2,255.15","2,300.51"
04/15/2009,"2,256.27","2,276.60","2,242.59","2,262.96"
04/14/2009,"2,256.35","2,298.91","2,243.95","2,278.65"
04/13/2009,"2,247.89","2,247.89","2,247.89","2,247.89"
04/09/2009,"2,204.77","2,256.93","2,195.15","2,247.89"
04/08/2009,"2,138.05","2,192.94","2,122.50","2,186.79"
04/07/2009,"2,186.85","2,193.58","2,139.73","2,165.56"
04/06/2009,"2,224.07","2,242.18","2,158.11","2,179.73"
04/03/2009,"2,202.53","2,239.61","2,186.82","2,198.75"
04/02/2009,"2,132.90","2,222.35","2,111.64","2,216.49"
04/01/2009,"2,060.24","2,103.39","2,021.53","2,097.57"
03/31/2009,"2,024.22","2,071.36","2,019.15","2,071.13"
03/30/2009,"2,091.74","2,103.96","2,010.61","2,010.61"
03/27/2009,"2,157.00","2,163.05","2,103.99","2,118.76"
03/26/2009,"2,151.41","2,159.54","2,130.03","2,156.97"
03/25/2009,"2,114.23","2,167.29","2,106.89","2,149.18"
03/24/2009,"2,139.32","2,158.75","2,105.59","2,127.37"
03/23/2009,"2,074.59","2,124.46","2,061.50","2,121.72"
03/20/2009,"2,020.68","2,055.01","2,006.25","2,050.96"
03/19/2009,"2,032.08","2,087.77","2,024.49","2,039.58"
03/18/2009,"2,029.27","2,052.47","1,988.78","2,019.19"
03/17/2009,"2,018.26","2,032.47","1,984.03","2,012.25"
03/16/2009,"1,993.75","2,034.87","1,987.83","2,033.72"
03/13/2009,"1,990.38","2,016.78","1,961.58","1,969.52"
03/12/2009,"1,913.29","1,966.41","1,877.79","1,962.64"
03/11/2009,"1,912.72","1,982.32","1,889.13","1,932.79"
03/10/2009,"1,817.22","1,925.94","1,804.09","1,919.53"
03/09/2009,"1,822.69","1,823.25","1,765.49","1,809.98"
03/06/2009,"1,852.98","1,868.37","1,807.56","1,817.24"
03/05/2009,"1,926.05","1,934.06","1,852.25","1,852.25"
03/04/2009,"1,889.19","1,943.46","1,883.69","1,943.46"
03/03/2009,"1,891.74","1,906.51","1,862.67","1,864.73"
03/02/2009,"1,941.66","1,963.79","1,882.79","1,882.79"
02/27/2009,"1,998.12","2,005.62","1,939.32","1,976.23"
02/26/2009,"1,990.24","2,038.22","1,978.83","2,021.14"
02/25/2009,"1,996.79","2,018.51","1,937.15","1,965.26"
02/24/2009,"1,978.23","1,994.31","1,945.28","1,977.50"
02/23/2009,"2,042.63","2,063.04","1,984.07","1,991.63"
02/20/2009,"2,085.63","2,098.40","2,011.68","2,011.68"
02/19/2009,"2,129.33","2,145.50","2,107.92","2,114.84"
02/18/2009,"2,132.80","2,136.36","2,077.49","2,118.47"
02/17/2009,"2,169.11","2,176.76","2,109.00","2,119.98"
02/13/2009,"2,242.38","2,267.53","2,219.96","2,228.29"
02/12/2009,"2,256.70","2,258.88","2,192.53","2,214.95"
02/11/2009,"2,260.29","2,275.37","2,242.13","2,267.90"
02/10/2009,"2,326.56","2,344.62","2,268.15","2,268.15"
02/09/2009,"2,328.04","2,358.44","2,316.35","2,348.95"
02/06/2009,"2,307.70","2,355.79","2,286.76","2,343.66"
02/05/2009,"2,259.48","2,296.98","2,226.60","2,293.23"
02/04/2009,"2,256.57","2,321.42","2,243.84","2,297.73"
02/03/2009,"2,213.96","2,248.17","2,179.40","2,244.89"
02/02/2009,"2,208.22","2,214.75","2,157.29","2,198.74"
01/30/2009,"2,261.33","2,279.49","2,221.71","2,236.98"
01/29/2009,"2,306.04","2,313.55","2,250.86","2,269.40"
01/28/2009,"2,242.57","2,330.95","2,240.11","2,322.78"
01/27/2009,"2,228.76","2,239.15","2,191.26","2,224.62"
01/26/2009,"2,138.61","2,241.69","2,133.09","2,226.77"
01/23/2009,"2,154.78","2,167.52","2,086.09","2,147.87"
01/22/2009,"2,217.69","2,247.56","2,150.94","2,160.07"
01/21/2009,"2,179.96","2,223.27","2,142.73","2,188.43"
01/20/2009,"2,246.33","2,284.08","2,191.68","2,200.80"
01/16/2009,"2,290.30","2,343.11","2,278.20","2,281.45"
01/15/2009,"2,303.95","2,312.83","2,235.30","2,257.67"
01/14/2009,"2,424.18","2,426.29","2,274.62","2,298.46"
01/13/2009,"2,439.65","2,445.04","2,385.04","2,411.28"
01/12/2009,"2,479.09","2,491.09","2,447.59","2,451.87"
01/09/2009,"2,524.74","2,543.83","2,466.14","2,486.59"
01/08/2009,"2,512.59","2,532.05","2,481.67","2,516.56"
01/07/2009,"2,568.93","2,572.07","2,520.61","2,538.55"
01/06/2009,"2,561.55","2,608.15","2,542.69","2,578.43"
01/05/2009,"2,557.92","2,563.96","2,527.33","2,553.41"
01/02/2009,"2,469.27","2,536.47","2,451.69","2,536.47"
12/31/2008,"2,447.62","2,447.62","2,447.62","2,447.62"
12/30/2008,"2,404.94","2,451.48","2,404.94","2,451.48"
12/29/2008,"2,387.33","2,410.25","2,371.29","2,388.30"
