Date,Open,High,Low,Close,,,,,,,Date SP,Date EUR,,,,
01.12.2009,"1.108,86","1.098,89","1.112,28","1.098,89",,,,,,,01.12.2009,12/01/2009,,,,
30.11.2009,"1.095,63","1.091,07","1.097,24","1.086,25",,,,,,,30.11.2009,11/30/2009,,,,
27.11.2009,"1.091,49","1.105,47","1.105,47","1.083,74",,,,,,,27.11.2009,11/27/2009,,,,
25.11.2009,"1.110,63","1.106,49","1.111,18","1.104,75",,,,,,,25.11.2009,11/25/2009,,,,
24.11.2009,"1.105,65","1.105,83","1.107,56","1.097,63",,,,,,,24.11.2009,11/24/2009,,,,
23.11.2009,"1.106,24","1.094,86","1.112,38","1.094,86",,,,,,,23.11.2009,11/23/2009,,,,
20.11.2009,"1.091,38","1.094,66","1.094,66","1.086,81",,,,,,,20.11.2009,11/20/2009,,,,
19.11.2009,"1.094,90","1.106,44","1.106,44","1.088,40",,,,,,,19.11.2009,11/19/2009,,,,
18.11.2009,"1.109,80","1.109,44","1.111,10","1.102,70",,,,,,,18.11.2009,11/18/2009,,,,
17.11.2009,"1.110,32","1.109,22","1.110,52","1.102,19",,,,,,,17.11.2009,11/17/2009,,,,
16.11.2009,"1.109,30","1.094,13","1.113,69","1.094,13",,,,,,,16.11.2009,11/16/2009,,,,
13.11.2009,"1.093,48","1.087,59","1.097,79","1.085,33",,,,,,,13.11.2009,11/13/2009,,,,
12.11.2009,"1.087,24","1.098,31","1.101,97","1.084,90",,,,,,,12.11.2009,11/12/2009,,,,
11.11.2009,"1.098,51","1.096,04","1.105,37","1.093,81",,,,,,,11.11.2009,11/11/2009,,,,
10.11.2009,"1.093,01","1.091,86","1.096,42","1.087,40",,,,,,,10.11.2009,11/10/2009,,,,
09.11.2009,"1.093,08","1.072,31","1.093,19","1.072,31",,,,,,,09.11.2009,11/09/2009,,,,
06.11.2009,"1.069,30","1.064,95","1.071,48","1.059,32",,,,,,,06.11.2009,11/06/2009,,,,
05.11.2009,"1.066,63","1.047,30","1.066,65","1.047,30",,,,,,,05.11.2009,11/05/2009,,,,
04.11.2009,"1.046,50","1.047,14","1.061,00","1.045,15",,,,,,,04.11.2009,11/04/2009,,,,
03.11.2009,"1.045,41","1.040,92","1.046,36","1.033,94",,,,,,,03.11.2009,11/03/2009,,,,
02.11.2009,"1.042,88","1.036,18","1.052,18","1.029,38",,,,,,,02.11.2009,11/02/2009,,,,
30.10.2009,"1.036,19","1.065,41","1.065,41","1.033,38",,,,,,,30.10.2009,10/30/2009,,,,
29.10.2009,"1.066,11","1.043,69","1.066,83","1.043,69",,,,,,,29.10.2009,10/29/2009,,,,
28.10.2009,"1.042,63","1.061,51","1.063,26","1.042,19",,,,,,,28.10.2009,10/28/2009,,,,
27.10.2009,"1.063,41","1.067,54","1.072,48","1.060,62",,,,,,,27.10.2009,10/27/2009,,,,
26.10.2009,"1.066,95","1.080,36","1.091,75","1.065,23",,,,,,,26.10.2009,10/26/2009,,,,
23.10.2009,"1.079,60","1.095,62","1.095,83","1.075,49",,,,,,,23.10.2009,10/23/2009,,,,
22.10.2009,"1.092,91","1.080,96","1.095,21","1.074,31",,,,,,,22.10.2009,10/22/2009,,,,
21.10.2009,"1.081,40","1.090,36","1.101,36","1.080,77",,,,,,,21.10.2009,10/21/2009,,,,
20.10.2009,"1.091,06","1.098,64","1.098,64","1.086,16",,,,,,,20.10.2009,10/20/2009,,,,
19.10.2009,"1.097,91","1.088,22","1.100,17","1.086,48",,,,,,,19.10.2009,10/19/2009,,,,
16.10.2009,"1.087,68","1.094,67","1.094,67","1.081,53",,,,,,,16.10.2009,10/16/2009,,,,
15.10.2009,"1.096,56","1.090,36","1.096,56","1.086,41",,,,,,,15.10.2009,10/15/2009,,,,
14.10.2009,"1.092,02","1.078,68","1.093,17","1.078,68",,,,,,,14.10.2009,10/14/2009,,,,
13.10.2009,"1.073,19","1.074,96","1.075,30","1.066,71",,,,,,,13.10.2009,10/13/2009,,,,
12.10.2009,"1.076,19","1.071,63","1.079,46","1.071,63",,,,,,,12.10.2009,10/12/2009,,,,
09.10.2009,"1.071,49","1.065,28","1.071,51","1.063,00",,,,,,,09.10.2009,10/09/2009,,,,
08.10.2009,"1.065,48","1.060,03","1.070,67","1.060,03",,,,,,,08.10.2009,10/08/2009,,,,
07.10.2009,"1.057,58","1.053,65","1.058,02","1.050,10",,,,,,,07.10.2009,10/07/2009,,,,
06.10.2009,"1.054,72","1.042,02","1.060,55","1.042,02",,,,,,,06.10.2009,10/06/2009,,,,
05.10.2009,"1.040,46","1.026,87","1.042,58","1.025,92",,,,,,,05.10.2009,10/05/2009,,,,
02.10.2009,"1.025,21","1.029,71","1.030,60","1.019,95",,,,,,,02.10.2009,10/02/2009,,,,
01.10.2009,"1.029,85","1.054,91","1.054,91","1.029,45",,,,,,,01.10.2009,10/01/2009,,,,
30.09.2009,"1.057,08","1.061,02","1.063,40","1.046,47",,,,,,,30.09.2009,09/30/2009,,,,
29.09.2009,"1.060,61","1.063,69","1.069,62","1.057,83",,,,,,,29.09.2009,09/29/2009,,,,
28.09.2009,"1.062,98","1.045,38","1.065,13","1.045,38",,,,,,,28.09.2009,09/28/2009,,,,
25.09.2009,"1.044,38","1.049,48","1.053,47","1.041,17",,,,,,,25.09.2009,09/25/2009,,,,
24.09.2009,"1.050,78","1.062,56","1.066,29","1.045,85",,,,,,,24.09.2009,09/24/2009,,,,
23.09.2009,"1.060,87","1.072,69","1.080,15","1.060,39",,,,,,,23.09.2009,09/23/2009,,,,
22.09.2009,"1.071,66","1.066,35","1.073,81","1.066,35",,,,,,,22.09.2009,09/22/2009,,,,
